Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	editRate.9	editRate.10	editRate.11	editRate.12	editRate.13	silencingRate	clockRate.c	birthRate	rho	deathRate
320000	-354.1764126740663	-138.0545397565954	-216.12187291747088	-138.0545397565954	48.08263520262976	0.17808792993327585	0.26121094668589034	0.00584281472336657	0.02519774578988366	0.20478566453633704	0.1085768016844228	0.01971100638650966	0.044341768025338776	0.027348877797944815	0.020153315514264497	0.02587483881391199	0.011025806309121713	0.06784248379973234	0.0	0.008937155051936336	0.23230498840264774	1.0	0.1566891199145602
330000	-368.62635079195604	-134.34501863641327	-234.28133215554277	-134.34501863641327	48.08263520262976	0.17808792993327585	0.26121094668589034	0.00584281472336657	0.02519774578988366	0.18930278351367105	0.1085768016844228	0.01971100638650966	0.05172432122641252	0.027348877797944815	0.012770762313190754	0.02587483881391199	0.026508687331787684	0.06784248379973234	0.0	0.014352701815080885	0.1462662296425869	1.0	0.06688680865669239
340000	-370.52537745951395	-131.89036208752313	-238.63501537199082	-131.89036208752313	54.78529527472419	0.17808792993327585	0.2689338553376872	0.01609161630375543	0.02519774578988366	0.18930278351367105	0.058723671408818894	0.01971100638650966	0.10157745150201641	0.017100076217555955	0.012770762313190754	0.02587483881391199	0.018785778679990817	0.06784248379973234	0.0	0.01350243868706008	0.11589452903805687	1.0	0.042927407407365205
350000	-355.78859054625	-135.97038651701976	-219.8182040292303	-135.97038651701976	59.890170274124756	0.17808792993327585	0.2689338553376872	0.01609161630375543	0.14070954111035527	0.07379098819319944	0.058723671408818894	0.01971100638650966	0.10157745150201641	0.017100076217555955	0.012770762313190754	0.022463297406715873	0.022197320087186934	0.06784248379973234	0.0	0.017442821121229576	0.1948193048431579	1.0	0.14323417462333518
360000	-362.3508493102803	-126.80282677334033	-235.54802253693995	-126.80282677334033	58.35842804152551	0.17808792993327585	0.2689338553376872	0.01609161630375543	0.14070954111035527	0.07379098819319944	0.058723671408818894	0.01971100638650966	0.10157745150201641	0.017100076217555955	0.012770762313190754	0.022463297406715873	0.022197320087186934	0.06784248379973234	0.0	0.014260178207931221	0.21669963560107444	1.0	0.16975394316029035
370000	-352.7887763298053	-121.11154455315096	-231.67723177665428	-121.11154455315096	58.8063748890642	0.2714560706302158	0.20500469561076534	0.01609161630375543	0.04734140041341532	0.07379098819319944	0.058723671408818894	0.01971100638650966	0.10157745150201641	0.017100076217555955	0.012770762313190754	0.08000900309066407	0.022197320087186934	0.07422593784270602	0.0	0.017026366313891667	0.1478567844168447	1.0	0.11318305352535898
380000	-370.48582329879264	-141.36175832777437	-229.12406497101827	-141.36175832777437	50.9499231276977	0.08558030277605755	0.21710041607667865	0.037706444938623476	0.04734140041341532	0.07379098819319944	0.058723671408818894	0.007615285920596345	0.10157745150201641	0.017100076217555955	0.012770762313190754	0.17804906550155652	0.08841819689558471	0.07422593784270602	0.0	0.020711051819079774	0.19258334352140732	1.0	0.12383947443550196
390000	-393.1657861735879	-145.33337191892386	-247.832414254664	-145.33337191892386	52.3551589378535	0.08558030277605755	0.21710041607667865	0.037706444938623476	0.04734140041341532	0.07379098819319944	0.058723671408818894	0.007615285920596345	0.04723278517054185	0.07144474254903052	0.012770762313190754	0.17804906550155652	0.08841819689558471	0.07422593784270602	0.0	0.02122809870474052	0.13062136997885263	1.0	0.09836358189257936
400000	-391.5530317481941	-137.1838292643341	-254.36920248386	-137.1838292643341	58.71494561081781	0.11106497947223462	0.12947572893601905	0.037706444938623476	0.04734140041341532	0.11275061482859924	0.058723671408818894	0.007615285920596345	0.02713060965308903	0.05258729143108354	0.012770762313190754	0.17804906550155652	0.15055820734006725	0.07422593784270602	0.0	0.018127009878036813	0.10537325253571356	1.0	0.054915388126571575
410000	-370.86754052153583	-129.3087881386276	-241.55875238290824	-129.3087881386276	49.583934634870324	0.029701084776063147	0.12947572893601905	0.037706444938623476	0.05398279427066666	0.19411450952477072	0.058723671408818894	0.007615285920596345	0.02713060965308903	0.045945897573832196	0.012770762313190754	0.17804906550155652	0.15055820734006725	0.07422593784270602	0.0	0.012528102058516122	0.19964498597595998	1.0	0.15341350909065465
420000	-366.37808256637436	-131.54743708048525	-234.83064548588914	-131.54743708048525	45.06738334589672	0.08450225223142097	0.12947572893601905	0.015853783893947607	0.01734139161963992	0.2159671705694466	0.003922503953461082	0.044256688571623085	0.02713060965308903	0.045945897573832196	0.012770762313190754	0.17804906550155652	0.15055820734006725	0.07422593784270602	0.0	0.016065668027498467	0.2045029962696628	1.0	0.15021908642139434
430000	-319.22252074744813	-118.25153701473948	-200.97098373270865	-118.25153701473948	55.7192992177867	0.08450225223142097	0.12947572893601905	0.015853783893947607	0.01734139161963992	0.2159671705694466	0.003922503953461082	0.1672615845069174	0.02713060965308903	0.045945897573832196	0.009078851078941776	0.05873608080051121	0.15055820734006725	0.07422593784270602	0.0	0.0209806807447771	0.28370839399575704	1.0	0.20129319098567727
440000	-321.806845670338	-118.79256759490374	-203.01427807543425	-118.79256759490374	55.045202176034714	0.08450225223142097	0.12947572893601905	0.015853783893947607	0.01734139161963992	0.16995904874473627	0.003922503953461082	0.18114750789173556	0.02713060965308903	0.045945897573832196	0.009078851078941776	0.09085827924040338	0.15055820734006725	0.07422593784270602	0.0	0.012066171036528574	0.2698885931875386	1.0	0.20804758768051948
450000	-344.31206785079723	-122.03001235887344	-222.2820554919238	-122.03001235887344	55.045202176034714	0.08450225223142097	0.12947572893601905	0.015853783893947607	0.01734139161963992	0.16995904874473627	0.003922503953461082	0.18114750789173556	0.02713060965308903	0.045945897573832196	0.042250157877069754	0.0576869724422754	0.15055820734006725	0.07422593784270602	0.0	0.013997162589740611	0.22677664234217854	1.0	0.18365770427836667
