Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	silencingRate	clockRate.c	birthRate	rho	deathRate
5470000	-122.91578625073852	-76.68648036039285	-46.22930589034567	-76.68648036039285	44.05745826464097	0.1028662097482385	0.25164677278436165	0.2817386466119344	0.21779196600443215	0.017864377483608612	0.010626513690998929	0.09993830544056756	0.017527208235858537	0.0	0.02603261679559792	0.08190302671812263	1.0	0.016944721371344066
5480000	-116.69137888791553	-74.63967744487528	-42.05170144304025	-74.63967744487528	37.17781024759976	0.24477467624901444	0.33395661055139236	0.2130244393651893	0.08947286986579317	0.07298921436821668	0.010626513690998929	0.017628467673536874	0.017527208235858537	0.0	0.03531242616110491	0.24347137605315958	1.0	0.3042553399987557
5490000	-118.57776496382202	-75.32121750932482	-43.256547454497195	-75.32121750932482	36.816668851189434	0.27278183697413116	0.39474341742963515	0.022985243657451124	0.08947286986579317	0.07298921436821668	0.11187174179537765	0.017628467673536874	0.017527208235858537	0.0	0.04104544305128044	0.1291341706476271	1.0	0.1526494380308651
5500000	-117.98416923301137	-76.92460421755312	-41.05956501545825	-76.92460421755312	48.31093236430016	0.12948478066036917	0.58405343830891	0.026779564171702675	0.04958167601294445	0.05954290864983491	0.07590489008104534	0.05712553387933529	0.017527208235858537	0.0	0.0324551429191343	0.2168500012716785	1.0	0.17266479776996688
5510000	-117.18164677923625	-75.52960740654342	-41.652039372692826	-75.52960740654342	49.291599670581675	0.11545760357493852	0.5645110570256613	0.02311129062892593	0.0987789457501883	0.05954290864983491	0.07590489008104534	0.04780258443625418	0.014890719853151909	0.0	0.019259887895024797	0.11516335621385525	1.0	0.10085290610359665
5520000	-118.94171727774372	-75.82275743027584	-43.11895984746787	-75.82275743027584	48.44016214586567	0.07023521325588408	0.6057602159061493	0.051543918081493306	0.0752013603996096	0.022691492698962826	0.029800689098568714	0.05619859379125711	0.08856851676807549	0.0	0.030192361869533942	0.17019695127265122	1.0	0.12824495542691616
5530000	-115.68326526903051	-76.83135202996365	-38.85191323906686	-76.83135202996365	50.20324085470307	0.06508286899427745	0.608966065052735	0.051543918081493306	0.07584695777187345	0.07801920225668876	0.06193398747118084	0.027139605492679696	0.03146739487907181	0.0	0.030332965636712974	0.3199681013666865	1.0	0.32249057620537536
5540000	-117.69004537428957	-73.620920427004	-44.06912494728557	-73.620920427004	48.43000258384389	0.06508286899427745	0.5464380597177397	0.051543918081493306	0.1687393920138864	0.05748798818647639	0.040165928443546044	0.04890766452031449	0.021634180042266412	0.0	0.022477786170652297	0.10802961465171326	1.0	0.0770580949445506
5550000	-114.47242075436179	-75.73323738478429	-38.7391833695775	-75.73323738478429	44.1247564311203	0.09710022570933054	0.6745630928914654	0.051543918081493306	0.04061435884016071	0.05748798818647639	0.00814857172849296	0.022179161458608165	0.04836268310397274	0.0	0.03176896908801079	0.1141314376955155	1.0	0.07573923986998483
5560000	-118.79382725445782	-81.35007500628896	-37.443752248168856	-81.35007500628896	37.490895431154655	0.11620478586249282	0.6919659789555607	0.0341410320173981	0.02150979868699843	0.06183602251191079	0.003800537403058561	0.022179161458608165	0.04836268310397274	0.0	0.021253055995260124	0.23924861740103742	1.0	0.2437992318550633
5570000	-115.03371980492255	-80.2611395235701	-34.77258028135246	-80.2611395235701	44.97604415634417	0.11620478586249282	0.7280058919620643	0.0341410320173981	0.02150979868699843	0.07435902835704257	0.003800537403058561	0.009656155613476389	0.01232277009746905	0.0	0.030389414843441317	0.5254587137898089	1.0	0.5251483944169351
5580000	-117.9857355644593	-81.50732615093412	-36.47840941352518	-81.50732615093412	48.255770897644474	0.15249198889119628	0.7280058919620643	0.054149633370780624	0.02150979868699843	0.015579644045248073	0.003800537403058561	0.012139735543184905	0.01232277009746905	0.0	0.023887137572769154	0.5831635650265996	1.0	0.5621112655643397
