node,tissue
ASV350,LVM
ASV350,LVM
ASV350,LVM
ASV350,LVR
ASV350,LVR
ASV350,LVR
ASV351,RBL
ASV351,RBL
ASV352,RBL
ASV352,RBL
ASV352,RBL
ASV353,LVM
ASV353,LVM
ASV354,LVR
ASV354,LVR
ASV354,LVR
ASV354,LVM
ASV354,LVM
ASV354,LVM
ASV355,LVM
ASV355,LVM
ASV356,LVM
ASV356,LVM
ASV357,LVM
ASV357,LVM
ASV357,LVM
ASV357,LVR
ASV357,LVR
ASV357,LVR
ASV358,LVR
ASV358,LVR
ASV359,RBL
ASV359,RBL
ASV360,LVM
ASV360,RBL
ASV361,LVR
ASV361,RBL
ASV362,LVM
ASV362,LVR
ASV363,RBL
ASV364,LVR
ASV364,LVR
ASV365,RBL
ASV365,RBL
ASV366,RBL
ASV366,RBL
ASV367,LVM
ASV367,LVM
ASV367,LVR
ASV367,LVR
ASV368,RBL
ASV368,RBL
ASV368,LVM
ASV368,LVM
ASV369,LVR
ASV369,LVR
ASV369,LVM
ASV369,LVM
ASV370,RBL
ASV370,RBL
ASV371,LVM
ASV371,LVM
ASV372,LVM
ASV372,LVM
ASV372,LVR
ASV372,LVR
ASV373,RBL
ASV373,RBL
ASV373,RBL
ASV374,RBL
ASV374,RBL
ASV375,LVR
ASV375,LVR
ASV376,RBL
ASV376,RBL
ASV377,LVM
ASV377,PRL
ASV378,LVR
ASV379,LVM
ASV380,LVR
ASV380,LVM
ASV381,RBL
ASV382,LVR
ASV382,LVR
ASV383,RBL
ASV384,LVR
ASV384,LVR
ASV385,RBL
ASV385,RBL
ASV385,RBL
ASV386,LVM
ASV386,LVM
ASV386,LVR
ASV386,LVR
ASV387,RBL
ASV387,RBL
ASV388,LVM
ASV388,LVM
ASV389,LVM
ASV389,LVM
ASV389,LVR
ASV389,LVR
ASV390,RBL
ASV390,RBL
ASV390,RBL
ASV391,RBL
ASV391,RBL
ASV391,RBL
ASV391,RBL
ASV391,RBL
ASV392,RBL
ASV392,RBL
ASV393,LVR
ASV393,LVR
ASV394,LVR
ASV394,LVR
ASV394,LVR
ASV395,LVR
ASV396,LVR
ASV397,LVM
ASV398,PRL
ASV399,LVR
ASV399,LVR
ASV400,PRL
ASV400,LVM
ASV401,LVR
ASV401,LVR
ASV402,LVR
ASV402,RBL
ASV403,LVR
ASV404,LVM
ASV404,LVM
ASV405,LVM
ASV405,LVM
ASV406,LVM
ASV406,LVM
ASV407,LVR
ASV408,RBL
ASV408,RBL
ASV409,RBL
ASV409,RBL
ASV410,PRL
ASV410,PRL
ASV411,LVR
ASV411,LVR
ASV411,LVR
ASV411,LVM
ASV411,LVM
ASV411,LVM
ASV412,PRL
ASV412,LVR
ASV413,PRL
ASV414,RBL
ASV415,LVM
ASV415,LVM
ASV415,LVM
ASV416,LVM
ASV417,LVM
ASV417,PRL
ASV418,LVR
ASV418,LVR
ASV419,LVR
ASV419,LVR
ASV420,LVM
ASV421,RBL
ASV421,LVM
ASV422,LVR
ASV422,LVR
ASV423,LVM
ASV423,LVM
ASV424,RBL
ASV424,RBL
ASV425,LVR
ASV425,LVR
ASV426,LVM
ASV426,LVM
ASV426,PRL
ASV426,PRL
ASV427,LVM
ASV427,LVM
ASV427,LVM
ASV427,LVM
ASV427,LVR
ASV427,LVR
ASV427,LVR
ASV427,LVR
ASV428,RBL
ASV428,RBL
ASV428,RBL
ASV429,RBL
ASV429,RBL
ASV430,RBL
ASV430,RBL
ASV431,RBL
ASV431,RBL
